FID,fid.1,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Cve_MunC,ID_Geo_N,Nom_Ent
a__31_MUN_INEGI_2020.72,72,31104,31,104,Yaxcabá,31104,72,Yucatán
a__31_MUN_INEGI_2020.73,73,31068,31,68,Sinanché,31068,73,Yucatán
a__31_MUN_INEGI_2020.74,74,31069,31,69,Sotuta,31069,74,Yucatán
a__31_MUN_INEGI_2020.75,75,31070,31,70,Sucilá,31070,75,Yucatán
a__31_MUN_INEGI_2020.76,76,31071,31,71,Sudzal,31071,76,Yucatán
a__31_MUN_INEGI_2020.77,77,31072,31,72,Suma,31072,77,Yucatán
a__31_MUN_INEGI_2020.78,78,31073,31,73,Tahdziú,31073,78,Yucatán
a__31_MUN_INEGI_2020.79,79,31074,31,74,Tahmek,31074,79,Yucatán
a__31_MUN_INEGI_2020.80,80,31075,31,75,Teabo,31075,80,Yucatán
a__31_MUN_INEGI_2020.81,81,31076,31,76,Tecoh,31076,81,Yucatán
a__31_MUN_INEGI_2020.82,82,31077,31,77,Tekal de Venegas,31077,82,Yucatán
a__31_MUN_INEGI_2020.83,83,31078,31,78,Tekantó,31078,83,Yucatán
a__31_MUN_INEGI_2020.84,84,31079,31,79,Tekax,31079,84,Yucatán
a__31_MUN_INEGI_2020.85,85,31080,31,80,Tekit,31080,85,Yucatán
a__31_MUN_INEGI_2020.86,86,31081,31,81,Tekom,31081,86,Yucatán
a__31_MUN_INEGI_2020.87,87,31082,31,82,Telchac Pueblo,31082,87,Yucatán
a__31_MUN_INEGI_2020.88,88,31083,31,83,Telchac Puerto,31083,88,Yucatán
a__31_MUN_INEGI_2020.89,89,31084,31,84,Temax,31084,89,Yucatán
a__31_MUN_INEGI_2020.90,90,31085,31,85,Temozón,31085,90,Yucatán
a__31_MUN_INEGI_2020.91,91,31086,31,86,Tepakán,31086,91,Yucatán
a__31_MUN_INEGI_2020.92,92,31087,31,87,Tetiz,31087,92,Yucatán
a__31_MUN_INEGI_2020.93,93,31088,31,88,Teya,31088,93,Yucatán
a__31_MUN_INEGI_2020.94,94,31089,31,89,Ticul,31089,94,Yucatán
a__31_MUN_INEGI_2020.95,95,31090,31,90,Timucuy,31090,95,Yucatán
a__31_MUN_INEGI_2020.96,96,31091,31,91,Tinum,31091,96,Yucatán
a__31_MUN_INEGI_2020.97,97,31092,31,92,Tixcacalcupul,31092,97,Yucatán
a__31_MUN_INEGI_2020.98,98,31093,31,93,Tixkokob,31093,98,Yucatán
a__31_MUN_INEGI_2020.99,99,31094,31,94,Tixmehuac,31094,99,Yucatán
a__31_MUN_INEGI_2020.100,100,31095,31,95,Tixpéhual,31095,100,Yucatán
a__31_MUN_INEGI_2020.101,101,31096,31,96,Tizimín,31096,101,Yucatán
a__31_MUN_INEGI_2020.102,102,31097,31,97,Tunkás,31097,102,Yucatán
a__31_MUN_INEGI_2020.103,103,31098,31,98,Tzucacab,31098,103,Yucatán
a__31_MUN_INEGI_2020.104,104,31099,31,99,Uayma,31099,104,Yucatán
a__31_MUN_INEGI_2020.105,105,31105,31,105,Yaxkukul,31105,105,Yucatán
a__31_MUN_INEGI_2020.106,106,31106,31,106,Yobaín,31106,106,Yucatán
